Date,Close,Index,Country,Close_1day,Relative,Bm
2020-01-13,56.45,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-14,56.48,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-15,56.47,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-16,56.84,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-17,57.13,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-20,57.0,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-21,56.99,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-22,57.3,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-23,57.24,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-24,56.92,World Index: Benin,Benin,54.84,1.04,1.0
2020-01-27,56.06,World Index: Benin,Benin,54.84,1.02,1.0
2020-01-28,56.57,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-29,56.67,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-30,56.75,World Index: Benin,Benin,54.84,1.03,1.0
2020-01-31,55.85,World Index: Benin,Benin,54.84,1.02,1.0
2020-02-03,56.51,World Index: Benin,Benin,54.84,1.03,1.0
2020-02-04,57.28,World Index: Benin,Benin,54.84,1.04,1.0
2020-02-05,57.92,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-06,58.17,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-07,57.8,World Index: Benin,Benin,54.84,1.05,1.0
2020-02-10,58.16,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-11,58.29,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-12,58.44,World Index: Benin,Benin,54.84,1.07,1.0
2020-02-13,58.32,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-14,58.27,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-18,58.06,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-19,58.23,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-20,58.1,World Index: Benin,Benin,54.84,1.06,1.0
2020-02-21,57.4,World Index: Benin,Benin,54.84,1.05,1.0
2020-02-24,55.72,World Index: Benin,Benin,54.84,1.02,1.0
2020-02-25,54.3,World Index: Benin,Benin,54.84,0.99,2.0
2020-02-26,54.25,World Index: Benin,Benin,54.84,0.99,2.0
2020-02-27,53.72,World Index: Benin,Benin,54.84,0.98,2.0
2020-02-28,52.25,World Index: Benin,Benin,54.84,0.95,2.0
2020-03-02,53.61,World Index: Benin,Benin,54.84,0.98,2.0
2020-03-03,52.57,World Index: Benin,Benin,54.84,0.96,2.0
2020-03-04,54.68,World Index: Benin,Benin,54.84,1.0,1.0
2020-03-05,53.16,World Index: Benin,Benin,54.84,0.97,2.0
2020-03-06,52.18,World Index: Benin,Benin,54.84,0.95,2.0
2020-03-09,49.07,World Index: Benin,Benin,54.84,0.89,2.0
2020-03-10,51.49,World Index: Benin,Benin,54.84,0.94,2.0
2020-03-11,48.95,World Index: Benin,Benin,54.84,0.89,2.0
2020-03-12,44.5,World Index: Benin,Benin,54.84,0.81,2.0
2020-03-13,47.73,World Index: Benin,Benin,54.84,0.87,2.0
2020-03-16,43.07,World Index: Benin,Benin,54.84,0.79,3.0
2020-03-17,46.45,World Index: Benin,Benin,54.84,0.85,2.0
2020-03-18,44.18,World Index: Benin,Benin,54.84,0.81,2.0
2020-03-19,45.05,World Index: Benin,Benin,54.84,0.82,2.0
2020-03-20,43.1,World Index: Benin,Benin,54.84,0.79,3.0
2020-03-23,42.38,World Index: Benin,Benin,54.84,0.77,3.0
2020-03-24,46.15,World Index: Benin,Benin,54.84,0.84,2.0
2020-03-25,46.11,World Index: Benin,Benin,54.84,0.84,2.0
2020-03-26,48.02,World Index: Benin,Benin,54.84,0.88,2.0
2020-03-27,46.4,World Index: Benin,Benin,54.84,0.85,2.0
2020-03-30,48.23,World Index: Benin,Benin,54.84,0.88,2.0
2020-03-31,47.42,World Index: Benin,Benin,54.84,0.86,2.0
2020-04-01,45.79,World Index: Benin,Benin,54.84,0.83,2.0
2020-04-02,46.68,World Index: Benin,Benin,54.84,0.85,2.0
2020-04-03,45.73,World Index: Benin,Benin,54.84,0.83,2.0
2020-04-06,48.64,World Index: Benin,Benin,54.84,0.89,2.0
2020-04-07,48.15,World Index: Benin,Benin,54.84,0.88,2.0
2020-04-08,49.62,World Index: Benin,Benin,54.84,0.9,2.0
2020-04-09,50.22,World Index: Benin,Benin,54.84,0.92,2.0
2020-04-13,49.34,World Index: Benin,Benin,54.84,0.9,2.0
2020-04-14,50.76,World Index: Benin,Benin,54.84,0.93,2.0
2020-04-15,50.09,World Index: Benin,Benin,54.84,0.91,2.0
2020-04-16,50.43,World Index: Benin,Benin,54.84,0.92,2.0
2020-04-17,51.43,World Index: Benin,Benin,54.84,0.94,2.0
2020-04-20,51.0,World Index: Benin,Benin,54.84,0.93,2.0
2020-04-21,49.83,World Index: Benin,Benin,54.84,0.91,2.0
2020-04-22,50.82,World Index: Benin,Benin,54.84,0.93,2.0
2020-04-23,50.37,World Index: Benin,Benin,54.84,0.92,2.0
2020-04-24,51.09,World Index: Benin,Benin,54.84,0.93,2.0
2020-04-27,51.65,World Index: Benin,Benin,54.84,0.94,2.0
2020-04-28,51.43,World Index: Benin,Benin,54.84,0.94,2.0
2020-04-29,52.37,World Index: Benin,Benin,54.84,0.95,2.0
2020-04-30,51.81,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-01,50.99,World Index: Benin,Benin,54.84,0.93,2.0
2020-05-04,51.22,World Index: Benin,Benin,54.84,0.93,2.0
2020-05-05,51.46,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-06,51.46,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-07,51.54,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-08,52.13,World Index: Benin,Benin,54.84,0.95,2.0
2020-05-11,52.52,World Index: Benin,Benin,54.84,0.96,2.0
2020-05-12,51.81,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-13,51.13,World Index: Benin,Benin,54.84,0.93,2.0
2020-05-14,51.1,World Index: Benin,Benin,54.84,0.93,2.0
2020-05-15,51.54,World Index: Benin,Benin,54.84,0.94,2.0
2020-05-19,52.06,World Index: Benin,Benin,54.84,0.95,2.0
2020-05-20,52.85,World Index: Benin,Benin,54.84,0.96,2.0
2020-05-21,52.57,World Index: Benin,Benin,54.84,0.96,2.0
2020-05-22,52.74,World Index: Benin,Benin,54.84,0.96,2.0
2020-05-25,53.17,World Index: Benin,Benin,54.84,0.97,2.0
2020-05-26,52.92,World Index: Benin,Benin,54.84,0.96,2.0
2020-05-27,53.55,World Index: Benin,Benin,54.84,0.98,2.0
2020-05-28,53.72,World Index: Benin,Benin,54.84,0.98,2.0
2020-05-29,53.82,World Index: Benin,Benin,54.84,0.98,2.0
2020-06-01,53.53,World Index: Benin,Benin,54.84,0.98,2.0
2020-06-02,53.61,World Index: Benin,Benin,54.84,0.98,2.0
2020-06-03,54.68,World Index: Benin,Benin,54.84,1.0,1.0
2019-12-02,54.84,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2019-12-03,54.4,World Index: Bhutan,Bhutan,54.84,0.99,2.0
2019-12-04,54.48,World Index: Bhutan,Bhutan,54.84,0.99,2.0
2019-12-05,54.43,World Index: Bhutan,Bhutan,54.84,0.99,2.0
2019-12-06,55.25,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-09,54.89,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2019-12-10,54.91,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2019-12-11,54.88,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2019-12-12,55.32,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-13,55.48,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-16,55.75,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-17,55.68,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-18,55.41,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-19,55.62,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-20,55.99,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-23,55.99,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-24,55.99,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-27,55.98,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2019-12-30,55.55,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2019-12-31,55.44,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2020-01-02,55.85,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2020-01-03,55.49,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2020-01-06,55.49,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2020-01-07,55.56,World Index: Bhutan,Bhutan,54.84,1.01,1.0
2020-01-08,55.92,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2020-01-09,56.37,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-10,56.25,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-13,56.45,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-14,56.48,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-15,56.47,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-16,56.84,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-17,57.13,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-20,57.0,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-21,56.99,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-22,57.3,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-23,57.24,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-24,56.92,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-01-27,56.06,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2020-01-28,56.57,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-29,56.67,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-30,56.75,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-01-31,55.85,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2020-02-03,56.51,World Index: Bhutan,Bhutan,54.84,1.03,1.0
2020-02-04,57.28,World Index: Bhutan,Bhutan,54.84,1.04,1.0
2020-02-05,57.92,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-06,58.17,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-07,57.8,World Index: Bhutan,Bhutan,54.84,1.05,1.0
2020-02-10,58.16,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-11,58.29,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-12,58.44,World Index: Bhutan,Bhutan,54.84,1.07,1.0
2020-02-13,58.32,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-14,58.27,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-18,58.06,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-19,58.23,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-20,58.1,World Index: Bhutan,Bhutan,54.84,1.06,1.0
2020-02-21,57.4,World Index: Bhutan,Bhutan,54.84,1.05,1.0
2020-02-24,55.72,World Index: Bhutan,Bhutan,54.84,1.02,1.0
2020-02-25,54.3,World Index: Bhutan,Bhutan,54.84,0.99,2.0
2020-02-26,54.25,World Index: Bhutan,Bhutan,54.84,0.99,2.0
2020-02-27,53.72,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-02-28,52.25,World Index: Bhutan,Bhutan,54.84,0.95,2.0
2020-03-02,53.61,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-03-03,52.57,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-03-04,54.68,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2020-03-05,53.16,World Index: Bhutan,Bhutan,54.84,0.97,2.0
2020-03-06,52.18,World Index: Bhutan,Bhutan,54.84,0.95,2.0
2020-03-09,49.07,World Index: Bhutan,Bhutan,54.84,0.89,2.0
2020-03-10,51.49,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-03-11,48.95,World Index: Bhutan,Bhutan,54.84,0.89,2.0
2020-03-12,44.5,World Index: Bhutan,Bhutan,54.84,0.81,2.0
2020-03-13,47.73,World Index: Bhutan,Bhutan,54.84,0.87,2.0
2020-03-16,43.07,World Index: Bhutan,Bhutan,54.84,0.79,3.0
2020-03-17,46.45,World Index: Bhutan,Bhutan,54.84,0.85,2.0
2020-03-18,44.18,World Index: Bhutan,Bhutan,54.84,0.81,2.0
2020-03-19,45.05,World Index: Bhutan,Bhutan,54.84,0.82,2.0
2020-03-20,43.1,World Index: Bhutan,Bhutan,54.84,0.79,3.0
2020-03-23,42.38,World Index: Bhutan,Bhutan,54.84,0.77,3.0
2020-03-24,46.15,World Index: Bhutan,Bhutan,54.84,0.84,2.0
2020-03-25,46.11,World Index: Bhutan,Bhutan,54.84,0.84,2.0
2020-03-26,48.02,World Index: Bhutan,Bhutan,54.84,0.88,2.0
2020-03-27,46.4,World Index: Bhutan,Bhutan,54.84,0.85,2.0
2020-03-30,48.23,World Index: Bhutan,Bhutan,54.84,0.88,2.0
2020-03-31,47.42,World Index: Bhutan,Bhutan,54.84,0.86,2.0
2020-04-01,45.79,World Index: Bhutan,Bhutan,54.84,0.83,2.0
2020-04-02,46.68,World Index: Bhutan,Bhutan,54.84,0.85,2.0
2020-04-03,45.73,World Index: Bhutan,Bhutan,54.84,0.83,2.0
2020-04-06,48.64,World Index: Bhutan,Bhutan,54.84,0.89,2.0
2020-04-07,48.15,World Index: Bhutan,Bhutan,54.84,0.88,2.0
2020-04-08,49.62,World Index: Bhutan,Bhutan,54.84,0.9,2.0
2020-04-09,50.22,World Index: Bhutan,Bhutan,54.84,0.92,2.0
2020-04-13,49.34,World Index: Bhutan,Bhutan,54.84,0.9,2.0
2020-04-14,50.76,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-04-15,50.09,World Index: Bhutan,Bhutan,54.84,0.91,2.0
2020-04-16,50.43,World Index: Bhutan,Bhutan,54.84,0.92,2.0
2020-04-17,51.43,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-04-20,51.0,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-04-21,49.83,World Index: Bhutan,Bhutan,54.84,0.91,2.0
2020-04-22,50.82,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-04-23,50.37,World Index: Bhutan,Bhutan,54.84,0.92,2.0
2020-04-24,51.09,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-04-27,51.65,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-04-28,51.43,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-04-29,52.37,World Index: Bhutan,Bhutan,54.84,0.95,2.0
2020-04-30,51.81,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-01,50.99,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-05-04,51.22,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-05-05,51.46,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-06,51.46,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-07,51.54,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-08,52.13,World Index: Bhutan,Bhutan,54.84,0.95,2.0
2020-05-11,52.52,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-05-12,51.81,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-13,51.13,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-05-14,51.1,World Index: Bhutan,Bhutan,54.84,0.93,2.0
2020-05-15,51.54,World Index: Bhutan,Bhutan,54.84,0.94,2.0
2020-05-19,52.06,World Index: Bhutan,Bhutan,54.84,0.95,2.0
2020-05-20,52.85,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-05-21,52.57,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-05-22,52.74,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-05-25,53.17,World Index: Bhutan,Bhutan,54.84,0.97,2.0
2020-05-26,52.92,World Index: Bhutan,Bhutan,54.84,0.96,2.0
2020-05-27,53.55,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-05-28,53.72,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-05-29,53.82,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-06-01,53.53,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-06-02,53.61,World Index: Bhutan,Bhutan,54.84,0.98,2.0
2020-06-03,54.68,World Index: Bhutan,Bhutan,54.84,1.0,1.0
2019-12-02,54.84,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2019-12-03,54.4,World Index: Bolivia,Bolivia,54.84,0.99,2.0
2019-12-04,54.48,World Index: Bolivia,Bolivia,54.84,0.99,2.0
2019-12-05,54.43,World Index: Bolivia,Bolivia,54.84,0.99,2.0
2019-12-06,55.25,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-09,54.89,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2019-12-10,54.91,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2019-12-11,54.88,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2019-12-12,55.32,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-13,55.48,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-16,55.75,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-17,55.68,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-18,55.41,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-19,55.62,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-20,55.99,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-23,55.99,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-24,55.99,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-27,55.98,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2019-12-30,55.55,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2019-12-31,55.44,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2020-01-02,55.85,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2020-01-03,55.49,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2020-01-06,55.49,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2020-01-07,55.56,World Index: Bolivia,Bolivia,54.84,1.01,1.0
2020-01-08,55.92,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2020-01-09,56.37,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-10,56.25,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-13,56.45,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-14,56.48,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-15,56.47,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-16,56.84,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-17,57.13,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-20,57.0,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-21,56.99,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-22,57.3,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-23,57.24,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-24,56.92,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-01-27,56.06,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2020-01-28,56.57,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-29,56.67,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-30,56.75,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-01-31,55.85,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2020-02-03,56.51,World Index: Bolivia,Bolivia,54.84,1.03,1.0
2020-02-04,57.28,World Index: Bolivia,Bolivia,54.84,1.04,1.0
2020-02-05,57.92,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-06,58.17,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-07,57.8,World Index: Bolivia,Bolivia,54.84,1.05,1.0
2020-02-10,58.16,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-11,58.29,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-12,58.44,World Index: Bolivia,Bolivia,54.84,1.07,1.0
2020-02-13,58.32,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-14,58.27,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-18,58.06,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-19,58.23,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-20,58.1,World Index: Bolivia,Bolivia,54.84,1.06,1.0
2020-02-21,57.4,World Index: Bolivia,Bolivia,54.84,1.05,1.0
2020-02-24,55.72,World Index: Bolivia,Bolivia,54.84,1.02,1.0
2020-02-25,54.3,World Index: Bolivia,Bolivia,54.84,0.99,2.0
2020-02-26,54.25,World Index: Bolivia,Bolivia,54.84,0.99,2.0
2020-02-27,53.72,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-02-28,52.25,World Index: Bolivia,Bolivia,54.84,0.95,2.0
2020-03-02,53.61,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-03-03,52.57,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-03-04,54.68,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2020-03-05,53.16,World Index: Bolivia,Bolivia,54.84,0.97,2.0
2020-03-06,52.18,World Index: Bolivia,Bolivia,54.84,0.95,2.0
2020-03-09,49.07,World Index: Bolivia,Bolivia,54.84,0.89,2.0
2020-03-10,51.49,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-03-11,48.95,World Index: Bolivia,Bolivia,54.84,0.89,2.0
2020-03-12,44.5,World Index: Bolivia,Bolivia,54.84,0.81,2.0
2020-03-13,47.73,World Index: Bolivia,Bolivia,54.84,0.87,2.0
2020-03-16,43.07,World Index: Bolivia,Bolivia,54.84,0.79,3.0
2020-03-17,46.45,World Index: Bolivia,Bolivia,54.84,0.85,2.0
2020-03-18,44.18,World Index: Bolivia,Bolivia,54.84,0.81,2.0
2020-03-19,45.05,World Index: Bolivia,Bolivia,54.84,0.82,2.0
2020-03-20,43.1,World Index: Bolivia,Bolivia,54.84,0.79,3.0
2020-03-23,42.38,World Index: Bolivia,Bolivia,54.84,0.77,3.0
2020-03-24,46.15,World Index: Bolivia,Bolivia,54.84,0.84,2.0
2020-03-25,46.11,World Index: Bolivia,Bolivia,54.84,0.84,2.0
2020-03-26,48.02,World Index: Bolivia,Bolivia,54.84,0.88,2.0
2020-03-27,46.4,World Index: Bolivia,Bolivia,54.84,0.85,2.0
2020-03-30,48.23,World Index: Bolivia,Bolivia,54.84,0.88,2.0
2020-03-31,47.42,World Index: Bolivia,Bolivia,54.84,0.86,2.0
2020-04-01,45.79,World Index: Bolivia,Bolivia,54.84,0.83,2.0
2020-04-02,46.68,World Index: Bolivia,Bolivia,54.84,0.85,2.0
2020-04-03,45.73,World Index: Bolivia,Bolivia,54.84,0.83,2.0
2020-04-06,48.64,World Index: Bolivia,Bolivia,54.84,0.89,2.0
2020-04-07,48.15,World Index: Bolivia,Bolivia,54.84,0.88,2.0
2020-04-08,49.62,World Index: Bolivia,Bolivia,54.84,0.9,2.0
2020-04-09,50.22,World Index: Bolivia,Bolivia,54.84,0.92,2.0
2020-04-13,49.34,World Index: Bolivia,Bolivia,54.84,0.9,2.0
2020-04-14,50.76,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-04-15,50.09,World Index: Bolivia,Bolivia,54.84,0.91,2.0
2020-04-16,50.43,World Index: Bolivia,Bolivia,54.84,0.92,2.0
2020-04-17,51.43,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-04-20,51.0,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-04-21,49.83,World Index: Bolivia,Bolivia,54.84,0.91,2.0
2020-04-22,50.82,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-04-23,50.37,World Index: Bolivia,Bolivia,54.84,0.92,2.0
2020-04-24,51.09,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-04-27,51.65,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-04-28,51.43,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-04-29,52.37,World Index: Bolivia,Bolivia,54.84,0.95,2.0
2020-04-30,51.81,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-01,50.99,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-05-04,51.22,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-05-05,51.46,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-06,51.46,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-07,51.54,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-08,52.13,World Index: Bolivia,Bolivia,54.84,0.95,2.0
2020-05-11,52.52,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-05-12,51.81,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-13,51.13,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-05-14,51.1,World Index: Bolivia,Bolivia,54.84,0.93,2.0
2020-05-15,51.54,World Index: Bolivia,Bolivia,54.84,0.94,2.0
2020-05-19,52.06,World Index: Bolivia,Bolivia,54.84,0.95,2.0
2020-05-20,52.85,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-05-21,52.57,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-05-22,52.74,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-05-25,53.17,World Index: Bolivia,Bolivia,54.84,0.97,2.0
2020-05-26,52.92,World Index: Bolivia,Bolivia,54.84,0.96,2.0
2020-05-27,53.55,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-05-28,53.72,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-05-29,53.82,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-06-01,53.53,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-06-02,53.61,World Index: Bolivia,Bolivia,54.84,0.98,2.0
2020-06-03,54.68,World Index: Bolivia,Bolivia,54.84,1.0,1.0
2019-12-02,54.84,World Index: Bosnia and Herzegovina,Bosnia and Herzegovina,54.84,1.0,1.0
